ATTRIBUTE,SYSTEM_NAME,SUBSYSTEM_NAME,CLASS_NAME,SUBCLASS_NAME,SPLIT_CLASS_NAME,SPLIT_SUBCLASS_NAME,WATER_REGIME_NAME,WATER_REGIME_SUBGROUP,FIRST_MODIFIER_NAME,FIRST_MODIFIER_GROUP,FIRST_MODIFIER_SUBGROUP,SECOND_MODIFIER_NAME,SECOND_MODIFIER_GROUP,SECOND_MODIFIER_SUBGROUP
E1AB/UBL,Estuarine,Subtidal,Aquatic Bed,,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB/UBLx,Estuarine,Subtidal,Aquatic Bed,,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB1L,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,,,,,,
E1AB1L6,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1AB1Lh,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E1AB1Lx,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB3/RFL,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Reef,,Subtidal,Saltwater Tidal,,,,,,
E1AB3/UB2L,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Unconsolidated Bottom,Sand,Subtidal,Saltwater Tidal,,,,,,
E1AB3/UBL,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB3L,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,,,,,,
E1AB3L5,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E1AB3L6,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1AB3Lx,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB4/UBL,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB4L,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,,,,,,
E1AB4L4,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Polyhaline,Water Chemistry,Coastal Halinity,,,
E1AB4L5,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
